ESEMBLID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
gene24	0.14094216	0.10692299	0.20735973	0.21717703	0.25662273	0.120006405	0.20854129	0.05115515	0.20550448	0.89962876	0.7327795	0.3384055	0.0	0.054019745	0.44857013	0.73923475	0.900758	0.85365814	0.92571807	1.0
gene25	0.12801518	0.71564263	0.0	0.52097386	0.5913682	0.68103516	0.5687329	0.45406756	0.21998328	0.20546994	0.9532305	0.6046768	0.68499047	0.579629	0.48819286	0.726139	0.43326953	0.41156483	0.23499763	1.0
gene26	0.2927572	0.11921327	0.7366106	0.24479133	0.0	0.10792717	0.19787899	0.23866576	0.44905546	0.6345379	0.3283662	0.43419006	0.31004432	0.10600463	0.35894534	0.97965914	0.6991458	0.5880757	0.3651142	1.0
gene27	1.0	0.0074687363	0.49100232	0.055617735	0.22987922	0.0	0.18228814	0.1695372	0.23737809	0.084658355	0.123886764	0.3537676	0.23247711	0.07915838	0.35706162	0.06261194	0.23790717	0.39506105	0.12612486	0.15495408
gene28	0.0013846621	0.30993727	0.0	0.15125836	0.56960475	0.40767196	0.1475337	0.3751953	0.46770465	0.24556215	0.17481549	0.80331725	0.15838991	0.30674624	0.53971803	0.8267974	0.28579596	0.49561158	0.75642765	1.0
gene29	0.39610898	0.43860197	0.2281357	0.62171954	0.923902	0.62794596	0.57904637	0.8757874	0.0543821	0.72077626	0.10831363	0.22189052	0.453403	1.0	0.6532776	0.1857958	0.22750314	0.30338666	0.19095674	0.0
gene30	0.24770106	0.57826465	0.3519217	0.16438596	1.0	0.0	0.26196223	0.5666025	0.13378417	0.1743221	0.30233812	0.070548974	0.5392282	0.13668758	0.13485698	0.1946422	0.13661996	0.039753042	0.18020098	0.09577
gene31	0.13501437	0.84992325	0.006777293	0.57337254	0.48821864	0.7176509	0.7411578	0.68431526	0.11505817	0.19369492	0.5652824	0.50614303	1.0	0.40351027	0.42263672	0.22992194	0.06030345	0.18791282	0.0	0.33962205
gene32	0.08341111	0.13239425	0.5292839	0.011813198	0.10910828	0.16724828	0.118580535	0.28639248	0.5918751	0.5494309	0.168526	0.560679	0.0	0.47472402	0.3702678	0.55856675	0.7367067	0.61466795	1.0	0.45647106
gene33	0.26770198	0.014077987	0.09464914	1.0	0.7268958	0.20446932	0.42001182	0.4425811	0.43276656	0.0	0.26451886	0.29862434	0.22456709	0.15718226	0.17921709	0.01962895	0.29647613	0.12156386	0.07780093	0.023885157
gene34	0.3727441	0.91007394	0.5713956	0.5722565	0.85509866	0.67071605	0.94550025	0.7807231	0.462499	0.58467793	0.6651757	0.36803335	0.91894555	0.61963326	0.73613113	0.0	0.51697654	0.80527776	1.0	0.91943294
gene35	0.24442092	0.5837986	0.1290735	0.423831	0.0	0.29910702	0.25760588	0.38852325	0.37355778	0.4690023	0.5463025	0.72711164	0.29354805	0.5215976	0.40835002	0.9106585	0.11326174	0.5592599	1.0	0.1635969
gene36	0.19485043	0.5025818	0.053356078	0.108066395	0.010774558	0.38275644	0.0	0.45141372	0.32951304	0.47354788	0.27094325	0.40579426	0.33328915	0.34887853	0.5844522	1.0	0.44712797	0.7903151	0.5747305	0.7101942
gene37	0.46181348	0.285601	0.38876477	0.0	0.35187486	0.17233954	0.6121078	0.77320707	0.3410409	0.3260142	0.45515382	0.9211948	0.35796437	0.42793703	0.4124838	0.89689153	0.78108597	0.6293976	0.4041299	1.0
gene38	0.73907644	0.09982581	1.0	0.029624496	0.41261265	0.02421147	0.0	0.16178322	0.4754021	0.48656857	0.22030605	0.38060373	0.15601946	0.16185966	0.38886306	0.16787405	0.47169334	0.42635027	0.35915315	0.21264955
gene39	0.058528543	0.4288588	0.0	0.3997822	0.28905034	0.47184128	0.4584542	0.5787935	0.33819172	0.0030798796	0.41072476	0.7535228	0.5601398	0.5258132	0.19559668	1.0	0.242195	0.59601885	0.8019748	0.49796665
gene40	0.3634901	0.28387102	0.11499291	0.6141181	1.0	0.18547277	0.58067954	0.5281732	0.66863513	0.06694452	0.19234672	0.005348786	0.3622537	0.38866508	0.22437853	0.0	0.48370337	0.22038668	0.34315926	0.49472913
gene41	0.6246375	0.0	0.7447302	0.6594903	0.11417047	0.17853855	0.08873328	0.021709966	1.0	0.3356205	0.48073298	0.679063	0.104081444	0.00805851	0.0075538163	0.8205457	0.4186214	0.2515323	0.6825895	0.5158002
gene42	0.20977384	0.7923807	0.12452546	0.777525	0.6875791	1.0	0.4311536	0.54581225	0.40266812	0.47543252	0.4738574	0.33161557	0.5695636	0.64453965	0.46960223	0.18153557	0.39218786	0.0	0.5738939	0.14044726
gene43	0.31260052	0.41483742	0.037891116	0.13942257	0.0	0.37372467	0.23626801	0.2960885	0.47159463	0.40715748	0.6267029	0.2599433	0.5817852	0.3004923	0.24680638	1.0	0.51954174	0.6980557	0.46788105	0.7878148
gene44	0.6694826	0.46534327	0.8096117	1.0	0.36292344	0.68515176	0.48304936	0.49757066	0.83697754	0.25954434	0.7838121	0.4043463	0.0	0.31868675	0.36733806	0.6131407	0.42202657	0.83201396	0.41956928	0.9843236
gene45	1.0	0.27711245	0.5056317	0.2923225	0.51089	0.77418303	0.0	0.06277104	0.7229248	0.5618983	0.72653353	0.55793536	0.20980144	0.5435657	0.5142359	0.42930925	0.67858213	0.10858186	0.538129	0.2505723
gene46	0.14149031	1.0	0.0	0.86624366	0.6188938	0.9417246	0.74054813	0.71713746	0.10955043	0.287086	0.54081655	0.55455434	0.9774717	0.9633343	0.5040461	0.31114754	0.18724318	0.15408416	0.114619024	0.18896052
gene47	0.18774723	0.2088632	0.2832217	0.5949988	0.16798364	1.0	0.37302965	0.2880727	0.15647335	0.6813467	0.97482145	0.4618535	0.020590372	0.09949285	0.4123281	0.35382542	0.0	0.1644182	0.18071114	0.5474956
gene48	0.37295592	0.23186038	0.33511418	0.22990607	0.45040306	0.18085425	0.72869766	0.0	0.4960335	0.82813054	0.53188026	0.8152133	0.1191359	0.48443225	0.78963685	0.7099807	1.0	0.90079993	0.85787237	0.77177864
gene49	0.0	0.4228551	0.0059343954	0.42234975	0.34787652	0.74844915	0.3560998	0.3546358	0.2925105	0.35235104	0.73251	0.30671307	1.0	0.36479044	0.3458382	0.74438876	0.20406848	0.5708309	0.81826603	0.6310615
gene50	0.0	0.13344248	0.18235461	0.11156621	0.1913026	0.1721171	0.074148774	0.17246762	0.30459827	0.4006085	0.21553998	0.24018414	0.084586486	0.27550074	0.2830007	1.0	0.49524337	0.5509332	0.39146388	0.4291802
gene51	0.48574322	0.8821417	0.38291323	1.0	0.6477856	0.09170729	0.6697197	0.6249448	0.23182143	0.3579075	0.3344081	0.12913384	0.6287454	0.7853192	0.33485192	0.11665654	0.0037581439	0.1528702	0.5185977	0.0
gene52	0.29698384	0.17506714	0.0	0.1661334	0.0013115365	0.317649	0.28981495	0.28852633	0.30867514	0.5393449	0.4232949	0.33114085	0.2277938	0.13559893	0.0390322	0.89725083	0.73749185	0.75852674	0.51045	1.0
gene53	0.160387	0.2027815	0.2869784	0.53064275	0.3923378	1.0	0.10417059	0.22465396	0.0	0.1151226	0.22057648	0.052542426	0.18302555	0.16815832	0.19517763	0.22958547	0.09247451	0.18811478	0.07230218	0.108710274
gene54	0.7834112	0.59793127	0.26576397	0.85227185	0.6786732	0.38894045	0.6248271	0.727277	0.39812145	0.0	0.26973352	0.4457325	0.6103687	1.0	0.16359982	0.020015908	0.35915846	0.3118721	0.57752216	0.1303979
gene55	0.32046592	0.32935938	0.061693087	0.26291257	0.0	1.0	0.23790275	0.5413955	0.2371247	0.23320085	0.43194348	0.24242982	0.02528289	0.38432264	0.032714244	0.14658922	0.07311206	0.26987496	0.078030564	0.03417951
gene56	0.3984313	0.82309884	0.46674958	1.0	0.5778156	0.523621	0.012822143	0.0	0.8097622	0.75260705	0.370939	0.16398127	0.550245	0.13210563	0.8018175	0.53951305	0.5791042	0.9290545	0.11442447	0.39180568
gene57	0.6644115	0.44795728	0.94903237	0.0	0.5579613	0.17974125	0.328248	0.77305305	0.9736124	0.22095431	0.22986461	1.0	0.063486286	0.22241543	0.18861184	0.45453933	0.42372543	0.9684914	0.7899442	0.40602034
gene58	0.9306722	0.16908886	0.80599266	0.0	0.4421715	0.21160007	0.39387953	0.6308209	0.7215368	0.4300004	0.35955605	0.77634424	0.23807739	0.6398438	0.64333165	0.22851837	1.0	0.5927357	0.16152926	0.6193607
gene59	1.0	0.102802545	0.055430103	0.27568948	0.28750303	0.9384727	0.10488729	0.0010404479	0.42030564	0.7897836	0.0	0.3556429	0.052639417	0.71294874	0.6264785	0.11821445	0.3065309	0.36361006	0.3585886	0.2904354
gene60	0.09580006	0.3551444	0.29716074	0.0	0.65327084	0.337874	0.07146709	0.40781227	0.49069664	0.19209817	0.5865135	0.5104096	0.16695109	0.34162924	0.4866626	0.43611014	0.8273646	0.60622853	0.24548043	1.0
gene61	0.6234983	0.45430228	0.33402306	0.41950744	0.0	0.58238053	0.3161764	0.28898907	0.46297613	0.6143928	0.6039833	0.6797807	0.8362827	0.35834238	0.17155634	0.9715213	0.9898331	0.62212753	0.4070719	1.0
gene62	0.5560413	0.8648966	0.4849872	0.44845885	1.0	0.5251487	0.45467293	0.7751254	0.11003509	0.20571934	0.5508643	0.47383937	0.21216679	0.8072922	0.564849	0.1663285	0.0	0.1949564	0.5844237	0.046749264
gene63	0.35756004	0.38912743	0.2561581	0.36417863	1.0	0.3771791	0.050386	0.0	0.11670182	0.5640407	0.5834522	0.2784483	0.10766841	0.7367525	0.48980683	0.13612597	0.4485522	0.62987626	0.4038615	0.644967
gene64	0.0	0.81305206	0.021310255	0.7312874	0.8364663	0.56896657	0.10815175	0.13888264	0.17867546	0.4981909	0.5732149	0.50543094	0.44696364	1.0	0.11730441	0.14465842	0.3049944	0.025783772	0.54727495	0.22080398
gene65	0.3703702	0.27976653	0.18958977	0.24247791	0.0	0.277629	0.16164999	0.33241457	0.42147157	0.50258857	0.3857529	0.49194944	0.412656	0.084647164	0.31195617	0.6311773	0.61894256	0.6744071	0.5861566	1.0
gene66	0.15115722	0.035098474	1.0	0.12854758	0.20882563	0.13947448	0.081893064	0.0	0.7175424	0.6812427	0.39600182	0.35254788	0.31183475	0.28568926	0.20098102	0.7249587	0.5480934	0.40586147	0.7214665	0.7644533
gene67	0.27144286	0.4208376	0.0	0.666846	0.392896	0.62620926	0.5038489	0.864238	0.50345147	0.57861227	0.259487	0.74785256	0.29823825	0.8222269	1.0	0.3946023	0.3356208	0.34968638	0.18109004	0.19565293
gene68	0.6424235	0.322191	0.7630231	0.40529007	0.5590135	0.27132455	0.3871191	0.16027772	0.51237	0.42102095	0.33168966	0.48851034	0.0	0.63481754	0.86468893	0.5447423	0.5840017	0.5237282	1.0	0.75817263
gene69	0.017354596	0.22654326	0.37589863	0.6468759	0.45410636	0.44182187	0.26843306	0.1906656	0.2789442	0.257401	0.11477584	0.044318132	0.07754475	0.5705219	0.17545106	0.2586121	0.2959571	0.0	1.0	0.18837525
gene70	0.89039916	0.646531	0.5790292	0.585683	0.57330287	0.37416172	0.64725965	0.7568852	0.42361817	0.31029367	0.38945276	0.4136358	0.6212215	1.0	0.4820777	0.0	0.25808266	0.09218364	0.41695818	0.12134441
gene71	1.0	0.31616896	0.8686116	0.2704968	0.69637805	0.23740152	0.824983	0.66126657	0.12674625	0.42355314	0.20497492	0.2659963	0.20425037	0.0	0.298556	0.5198245	0.3467413	0.67951375	0.3927712	0.1666744
gene72	0.29682422	0.30561054	0.34743512	0.22795391	0.0	0.4488313	0.4567372	0.5650556	0.49803618	0.52985907	0.455069	0.6141115	0.43343353	0.35800913	0.25425434	1.0	0.7045721	0.910259	0.8705747	0.84292156
gene73	0.7442455	0.4677534	1.0	0.5561047	0.46067637	0.0	0.9874264	0.66875446	0.5017378	0.7090255	0.6835859	0.46833605	0.76720643	0.10575592	0.34086046	0.95443875	0.578937	0.9902726	0.42364532	0.7986313
gene74	0.0	0.6078271	0.061012827	0.729969	0.04649062	0.33037314	0.5553308	1.0	0.47261795	0.55577457	0.26655075	0.17949456	0.20889203	0.35176817	0.1646786	0.01743633	0.30775338	0.20257707	0.51320094	0.019908613
gene75	0.2814639	0.67442155	0.054105364	0.33341578	0.006217765	0.40594187	0.0	0.33578944	0.31482917	0.43404958	0.41517273	0.56848586	0.4120806	0.32654664	0.18363918	0.9822761	0.9633012	1.0	0.5600721	0.8846666
gene76	0.15861829	1.0	0.3334867	0.6945804	0.36892512	0.2479321	0.56779826	0.49936822	0.0	0.023228625	0.35082686	0.26350302	0.6317146	0.5088552	0.27419978	0.4067414	0.15682292	0.10254677	0.36316684	0.37051132
gene77	0.37492102	0.5153917	1.0	0.602795	0.81399333	0.2720548	0.15186958	0.08327817	0.44104847	0.7431554	0.2625273	0.1673625	0.065899774	0.0	0.63588655	0.50139296	0.80327475	0.17856683	0.5832	0.4370891
gene78	0.44353127	0.34342384	0.25498852	0.09797869	0.0	0.055604022	0.3167436	0.15275683	0.39546427	0.3567567	0.6949829	0.617065	0.43985397	0.47679934	0.47255224	0.73060465	1.0	0.595432	0.4876318	0.9843802
gene79	0.42779487	0.287282	0.47964215	0.38933268	0.15057075	0.38099048	0.15683712	0.15852648	0.48829418	0.57036585	0.15515065	0.22651273	0.55033493	0.0	0.34271032	1.0	0.9248939	0.8767745	0.93109846	0.69514877
gene80	0.4286292	0.93113697	0.37033334	0.3871772	0.5286857	0.76251763	0.7340263	0.9613393	0.4693816	0.53398424	0.605935	0.85765916	0.4979998	0.36555687	1.0	0.0061363513	0.15031238	0.46861094	0.07999793	0.0
gene81	0.09652781	1.0	0.013880201	0.77540976	0.9159945	0.76999754	0.6836768	0.5861893	0.0	0.18795252	0.61782014	0.5128296	0.74997413	0.7248228	0.6449329	0.18049893	0.05787419	0.03348598	0.17040204	0.28575385
gene82	0.51360464	0.30578423	0.5378784	0.0	0.44797498	0.44080198	0.18419774	0.4559117	0.7035519	0.7024149	0.6024964	0.7676292	0.23726344	0.22870263	0.4029235	0.95127565	0.6632211	1.0	0.9619037	0.78122
gene83	0.7968502	0.26573893	0.666397	0.0	0.18271737	0.17211173	0.6152086	0.60899997	0.21877828	0.10418545	0.25179738	0.7014476	0.5771285	0.105804354	0.57702035	0.6908088	1.0	0.7660171	0.28773484	0.8251199
gene84	0.1350691	0.22753446	0.60126585	0.4037354	0.42435563	0.7678068	0.13853069	0.07836699	0.0	0.6000698	0.4724755	0.5412809	0.49388385	0.56260914	0.24431421	0.43484902	1.0	0.20720516	0.1886232	0.59489596
gene85	0.3519835	0.11856331	0.20332342	0.0	0.013267645	0.20435521	0.24394272	0.23624556	0.6127334	0.4124272	0.5759444	0.37952447	0.1675581	0.12255772	0.056673303	1.0	0.5953515	0.8689561	0.6399188	0.888912
gene86	0.76575077	0.18607791	0.91710746	0.63829696	0.9626104	0.3812721	0.28866315	0.5221941	0.44498712	1.0	0.10674854	0.18850273	0.0	0.4910238	0.4075404	0.4589537	0.07994836	0.4792142	0.3771849	0.41950133
gene87	0.47761804	0.42828345	0.0	0.27542335	0.1064998	0.34881577	0.29368094	0.114537776	0.3409083	0.3220813	0.357771	0.91344327	0.18333417	0.2367845	0.63728464	0.42522335	0.64079773	0.91575074	0.3762426	1.0
gene88	0.60314125	0.042087503	1.0	0.265627	0.29657587	0.23384126	0.19432224	0.17598207	0.4479709	0.34031883	0.35833004	0.4431561	0.20038305	0.0	0.20342693	0.25851378	0.33363473	0.26169562	0.18597385	0.399623
gene89	0.4320574	0.93644327	0.5774068	0.68583626	0.8858742	0.7800773	0.0	0.4472732	0.73638177	0.4203094	0.49933404	0.76292557	0.80088216	0.64213157	0.891802	0.5328757	0.65200096	0.48713034	1.0	0.5242729
gene90	1.0	0.11902664	0.8642897	0.6122398	0.7760762	0.6736121	0.19450566	0.091566786	0.8100883	0.5278599	0.633094	0.423246	0.0	0.37920496	0.66573143	0.0341024	0.7152896	0.09506989	0.49071822	0.7132233
gene91	1.0	0.39260018	0.63851464	0.3996359	0.049602814	0.04241726	0.50166166	0.6017778	0.84665835	0.4089438	0.13580121	0.0025430417	0.20552464	0.0	0.0806384	0.95832825	0.6461335	0.5202339	0.4660406	0.0544204
gene92	0.21433899	0.4532854	0.29274347	1.0	0.6728363	0.950242	0.9626694	0.7574465	0.30890617	0.35870624	0.61698145	0.20351031	0.7171615	0.33409372	0.2721408	0.064922854	0.0	0.3521609	0.3182551	0.23217948
gene93	0.4851533	0.050178993	1.0	0.09733493	0.5901757	0.3027768	0.3066237	0.45986894	0.56532675	0.6946169	0.0	0.3090187	0.0781594	0.24346395	0.478291	0.62278646	0.66795784	0.60204256	0.23586163	0.4504307
gene94	0.3701164	1.0	0.3658363	0.49182376	0.19259267	0.0	0.2172826	0.50548023	0.28929985	0.229473	0.10729423	0.088284224	0.18907721	0.28386858	0.14514643	0.18851057	0.2186262	0.15691772	0.64525604	0.25158364
gene95	0.82878804	0.1605063	0.7689997	0.29778427	0.55047363	0.20306014	0.17959075	0.18175055	1.0	0.13276678	0.6405321	0.70195025	0.0	0.30168965	0.80071664	0.29383254	0.49518985	0.39945027	0.4458011	0.29817918
gene96	0.3858617	0.21778785	0.64058715	0.6469099	0.23728207	0.32393208	0.3617418	0.3473668	1.0	0.18263608	0.3389176	0.06240368	0.41920748	0.19567427	0.2580721	0.0	0.26355147	0.1520625	0.37731847	0.54889566
gene97	0.18552165	0.36382392	0.0	0.3264537	0.25299826	0.35407612	0.23912796	0.21482514	0.33065155	0.5368598	0.4636574	0.4236852	0.47838417	0.32250524	0.3362611	1.0	0.7117334	0.49635687	0.20281498	0.9775516
gene98	0.32447827	0.52465403	0.23741667	0.9426758	0.8719816	0.9010955	0.7570792	1.0	0.31398606	0.36278167	0.49044347	0.53644305	0.38539878	0.462587	0.43957356	0.25738952	0.0	0.028412553	0.15690722	0.0806853
gene99	0.24994247	0.73363817	0.45275974	0.9040138	0.97112715	0.5411503	0.34088	0.5019908	0.42269802	0.61937135	0.6275172	0.495073	0.41320026	0.49282238	1.0	0.4209093	0.363294	0.14938208	0.5032413	0.0
gene100	0.83351684	0.062299345	0.42710942	1.0	0.9575123	0.26941094	0.3867484	0.37371454	0.63325936	0.8105446	0.0	0.09349274	0.020672506	0.38672513	0.83155197	0.6828405	0.44327185	0.5499136	0.20686074	0.7828022
gene101	0.08214338	0.5334224	0.0	0.3348588	0.9429758	0.54827005	1.0	0.3502283	0.20538034	0.11771975	0.29095972	0.024225054	0.34113425	0.25437358	0.26991728	0.13782482	0.07966183	0.17905922	0.34490854	0.24027787
gene102	0.8041853	0.0	0.60987884	0.048090346	0.44123858	0.09994805	0.21436022	0.7080226	0.17657718	0.18358274	0.4364458	0.5857808	0.50443137	0.10485715	0.56848526	0.034924198	1.0	0.5044787	0.104332894	0.45902812
gene103	0.25414917	0.46133193	0.5375893	0.70105565	0.9334226	0.45640403	0.43016833	0.5594738	0.26113406	0.46360594	0.33632678	0.11499088	0.22299404	1.0	0.28201464	0.009077553	0.23802996	0.4662837	0.3393092	0.0
gene104	0.5372959	0.0	0.74612105	0.14618324	0.30210266	0.56709063	0.2750286	0.093948916	0.79962337	0.65218973	0.7967154	0.8474275	0.25224265	0.22515127	0.8338936	0.57398266	0.8993477	0.51686925	0.86315364	1.0
gene105	0.65057975	0.371884	0.5369345	0.31631157	0.94557	0.77703947	0.15547377	0.0	1.0	0.38621214	0.88485116	0.13656107	0.33166456	0.5401778	0.44700345	0.21361524	0.3077507	0.7112501	0.40576258	0.50085324
gene106	0.51194555	0.108402565	0.8167418	0.17600848	1.0	0.515484	0.0	0.1782257	0.6922897	0.5171896	0.7268273	0.21393543	0.16250485	0.0690554	0.6165127	0.34485343	0.2623928	0.3896853	0.2914935	0.054191176
gene107	0.07779078	0.0102598155	0.34258094	0.06683539	0.10848835	0.12634288	0.24648398	0.20003854	0.21528432	0.1467021	0.35116413	0.2704638	0.114800416	0.0	0.10809941	0.5886009	0.86006916	1.0	0.8210881	0.68831563
gene108	0.3343424	0.607743	0.5947756	0.18261622	0.0	0.31438783	0.2849739	0.22007504	0.45306268	0.31318498	0.5400162	0.5821877	0.31722328	0.30496112	0.11786989	1.0	0.48107332	0.61562735	0.6118444	0.48733187
gene109	0.7154899	0.20056903	0.5974691	0.0	0.21771544	0.0420706	0.7688761	0.30705708	0.8874063	0.50280076	0.15772697	0.4318089	0.2542848	0.24565922	0.46012804	0.30738425	0.1710422	1.0	0.5108925	0.61836606
gene110	0.41305682	0.44480106	0.09832103	0.061871894	0.48617718	0.907394	1.0	0.46463734	0.11761527	0.4536928	0.6787656	0.5383462	0.6981569	0.22898257	0.64048934	0.33208573	0.0	0.25078645	0.1358339	0.0047744294
gene111	1.0	0.59585524	0.56089073	0.28469715	0.9535891	0.56727916	0.7114011	0.8661753	0.13599844	0.0	0.12944934	0.4585307	0.7084476	0.54424244	0.46045548	0.07739501	0.09701537	0.21550573	0.14446251	0.21152811
gene112	0.06480741	0.18304163	0.3101395	0.02581114	0.02056593	0.18511079	0.14543201	0.1769947	0.37502572	0.30279568	0.50524974	0.3939111	0.38175756	0.0	0.13178179	0.86732864	0.41710243	1.0	0.39883164	0.5930634
gene113	0.60250866	0.3749283	0.49804708	0.0	0.07306476	0.2567504	0.6697694	0.535152	0.6923562	0.6039089	0.848949	0.9773243	0.1264444	0.34450448	0.49636662	0.7715454	1.0	0.94028556	0.31299993	0.8686936
gene114	0.24884064	0.6700804	0.45194376	0.9268946	0.27148163	0.0	0.7728222	0.6657458	0.6891612	0.46407703	0.7210201	0.042999692	0.50351644	0.53868556	0.45318666	0.13797358	0.3125098	1.0	0.11634359	0.27834347
gene115	0.040754344	0.52672535	0.09580369	0.1925959	0.0	0.2733557	0.53801	0.27868977	0.74368304	0.2863945	0.5278649	0.6274321	0.5116652	0.5791969	0.5793103	1.0	0.3638526	0.64393777	0.9683741	0.4486963
